지점,지점명,일시,일강수량(mm)
133,대전,2015-09-01,0
133,대전,2015-09-02,3.8
133,대전,2015-09-03,0
133,대전,2015-09-05,.1
133,대전,2015-09-06,0
133,대전,2015-09-11,1.1
133,대전,2015-09-12,13.5
133,대전,2015-09-16,0
133,대전,2015-10-01,49.8
133,대전,2015-10-09,.7
133,대전,2015-10-10,11.1
133,대전,2015-10-11,4.9
133,대전,2015-10-12,.7
133,대전,2015-10-24,0
133,대전,2015-10-27,26.4
133,대전,2015-10-29,.5
133,대전,2015-10-30,0
133,대전,2015-11-06,.6
133,대전,2015-11-07,21.2
133,대전,2015-11-08,15.5
133,대전,2015-11-09,1.7
133,대전,2015-11-13,30.7
133,대전,2015-11-14,3.7
133,대전,2015-11-16,26.3
133,대전,2015-11-17,1.5
133,대전,2015-11-18,1.9
133,대전,2015-11-19,1.8
133,대전,2015-11-22,.1
133,대전,2015-11-23,9.6
133,대전,2015-11-24,.8
133,대전,2015-11-25,8.7
