일자 ,일일강우량,연간 누계
2019-01-01,0,0
2019-01-02,0,0
2019-01-03,0,0
2019-01-04,0,0
2019-01-05,0,0
2019-01-06,0,0
2019-01-07,0,0
2019-01-08,0,0
2019-01-09,0,0
2019-01-10,0,0
2019-01-11,0,0
2019-01-12,0,0
2019-01-13,0,0
2019-01-14,0,0
2019-01-15,0,0
2019-01-16,0,0
2019-01-17,0,0
2019-01-18,0,0
2019-01-19,0,0
2019-01-20,0,0
2019-01-21,0,0
2019-01-22,0,0
2019-01-23,0,0
2019-01-24,0,0
2019-01-25,0,0
2019-01-26,0,0
2019-01-27,0,0
2019-01-28,0,0
2019-01-29,0,0
2019-01-30,0,0
2019-01-31,0,0
2019-02-01,0,0
2019-02-02,0,0
2019-02-03,16,16
2019-02-04,0,16
2019-02-05,0,16
2019-02-06,0,16
2019-02-07,2,18
2019-02-08,0,18
2019-02-09,0,18
2019-02-10,0,18
2019-02-11,0,18
2019-02-12,0,18
2019-02-13,0,18
2019-02-14,0,18
2019-02-15,3,21
2019-02-16,0,21
2019-02-17,0,21
2019-02-18,0,21
2019-02-19,7,28
2019-02-20,0,28
2019-02-21,0,28
2019-02-22,0,28
2019-02-23,0,28
2019-02-24,0,28
2019-02-25,0,28
2019-02-26,0,28
2019-02-27,0,28
2019-02-28,0,28
2019-03-01,0,28
2019-03-02,0,28
2019-03-03,0,28
2019-03-04,0,28
2019-03-05,0,28
2019-03-06,0,28
2019-03-07,0,28
2019-03-08,0,28
2019-03-09,0,28
2019-03-10,0,28
2019-03-11,0,28
2019-03-12,0,28
2019-03-13,0,28
2019-03-14,0,28
2019-03-15,7,35
2019-03-16,2,37
2019-03-17,0,37
2019-03-18,0,37
2019-03-19,0,37
2019-03-20,19,56
2019-03-21,5,61
2019-03-22,0,61
2019-03-23,0,61
2019-03-24,0,61
2019-03-25,0,61
2019-03-26,0,61
2019-03-27,0,61
2019-03-28,0,61
2019-03-29,0,61
2019-03-30,0,61
2019-03-31,0,61
2019-04-01,0,61
2019-04-02,0,61
2019-04-03,0,61
2019-04-04,0,61
2019-04-05,0,61
2019-04-06,0,61
2019-04-07,0,61
2019-04-08,0,61
2019-04-09,16,77
2019-04-10,4,81
2019-04-11,0,81
2019-04-12,0,81
2019-04-13,0,81
2019-04-14,2,83
2019-04-15,0,83
2019-04-16,0,83
2019-04-17,0,83
2019-04-18,0,83
2019-04-19,0,83
2019-04-20,0,83
2019-04-21,0,83
2019-04-22,0,83
2019-04-23,0,83
2019-04-24,5,88
2019-04-25,9,97
2019-04-26,3,100
2019-04-27,0,100
2019-04-28,0,100
2019-04-29,0,100
2019-04-30,0,100
2019-05-01,0,100
2019-05-02,0,100
2019-05-03,0,100
2019-05-04,0,100
2019-05-05,0,100
2019-05-06,0,100
2019-05-07,0,100
2019-05-08,0,100
2019-05-09,0,100
2019-05-10,0,100
2019-05-11,0,100
2019-05-12,0,100
2019-05-13,0,100
2019-05-14,0,100
2019-05-15,0,100
2019-05-16,0,100
2019-05-17,0,100
2019-05-18,0,100
2019-05-19,19,119
2019-05-20,5,124
2019-05-21,0,124
2019-05-22,0,124
2019-05-23,0,124
2019-05-24,0,124
2019-05-25,0,124
2019-05-26,0,124
2019-05-27,4,128
2019-05-28,0,128
2019-05-29,0,128
2019-05-30,0,128
2019-05-31,0,128
2019-06-01,0,128
2019-06-02,0,128
2019-06-03,0,128
2019-06-04,0,128
2019-06-05,0,128
2019-06-06,7,135
2019-06-07,42,177
2019-06-08,0,177
2019-06-09,1,178
2019-06-10,16,194
2019-06-11,0,194
2019-06-12,0,194
2019-06-13,0,194
2019-06-14,0,194
2019-06-15,1,195
2019-06-16,0,195
2019-06-17,0,195
2019-06-18,27,222
2019-06-19,0,222
2019-06-20,0,222
2019-06-21,2,224
2019-06-22,0,224
2019-06-23,0,224
2019-06-24,0,224
2019-06-25,0,224
2019-06-26,0,224
2019-06-27,1,225
2019-06-28,0,225
2019-06-29,2,227
2019-06-30,0,227
2019-07-01,0,227
2019-07-02,0,227
2019-07-03,0,227
2019-07-04,0,227
2019-07-05,0,227
2019-07-06,0,227
2019-07-07,0,227
2019-07-08,0,227
2019-07-09,0,227
2019-07-10,0,227
2019-07-11,13,240
2019-07-12,0,240
2019-07-13,0,240
2019-07-14,0,240
2019-07-15,11,251
2019-07-16,0,251
2019-07-17,0,251
2019-07-18,0,251
2019-07-19,0,251
2019-07-20,0,251
2019-07-21,7,258
2019-07-22,0,258
2019-07-23,0,258
2019-07-24,1,259
2019-07-25,3,262
2019-07-26,82,344
2019-07-27,10,354
2019-07-28,23,377
2019-07-29,1,378
2019-07-30,0,378
2019-07-31,63,441
2019-08-01,45,486
2019-08-02,0,486
2019-08-03,12,498
2019-08-04,3,501
2019-08-05,0,501
2019-08-06,0,501
2019-08-07,8,509
2019-08-08,0,509
2019-08-09,0,509
